16, B1822-09, dls72, 0.7690058551, 12, ywml10, 5.25018E-14, 12, ywml10, 0.3, 0.01, 0.11, 8.22, 1.2000e-11, *, *, 1.2000e-18
17, B1919+21, hbp+68, 1.3373021602, 9, hlk+04, 1.348207E-15, 8, hlk+04, 0.3, 0.02, 0.25, 8.33, 9.0000e-13, *, *, 8.0000e-21
18, B1944+17, vl70, 0.4406184769, 8, hlk+04, 2.4092E-17, 4, hlk+04, 0.3, -0.02, 0.25, 8.33, 8.0000e-13, *, *, 4.0000e-21
19, J2124-3358, bjb+97, 0.0049311149, 5, vbc+09, 2.05705E-20, 5, vbc+09, 0.3, -0.21, 0.04, 8.29, 5.0000e-17, *, *, 5.0000e-25
21, B0628-28, lvw69a, 1.2444185962, 8, hlk+04, 7.1229E-15, 3, hlk+04, 0.32, -0.09, -0.26, 8.67, 8.0000e-11, *, *, 3.0000e-19
22, B0823+26, cls68, 0.5306605117, 3, hlk+04, 1.70932E-15, 9, hlk+04, 0.32, 0.17, -0.08, 8.76, 3.0000e-11, *, *, 9.0000e-20
23, B1133+16, phbc68, 1.1879130659, 3, hlk+04, 3.733837E-15, 9, hlk+04, 0.35, 0.33, -0.11, 8.56, 3.0000e-12, *, *, 9.0000e-21
24, J2307+2225, cnt96, 0.5358288954, 7, cn95, 8.7E-18, 7, cn95, 0.38, -0.22, 0.31, 8.52, 7.0000e-12, *, *, 7.0000e-19
25, B0450-18, vlw69, 0.5489392233, 3, hlk+04, 5.753107E-15, 16, hlk+04, 0.4, -0.22, -0.2, 8.76, 3.0000e-12, *, *, 1.6000e-20
26, J0751+1807, lzc95, 0.0034787708, 3, nss+05, 7.7860E-21, 5, nss+05, 0.4, 0.14, -0.14, 8.84, 3.0000e-17, *, *, 5.0000e-25
27, B1737-30, cl86, 0.6068866243, 4, ywml10, 4.66124E-13, 12, ywml10, 0.4, 0, -0.01, 8.1, 4.0000e-11, *, *, 1.2000e-17
28, J2129-5721, llb+96, 0.0037263485, 5, vbc+09, 2.08534E-20, 3, vbc+09, 0.4, -0.28, -0.11, 8.23, 5.0000e-17, *, *, 3.0000e-25
29, J1643-1224, lnl+95, 0.0046216415, 15, vbc+09, 1.84628E-20, 5, vbc+09, 0.42, 0.15, 0.04, 8.11, 1.5000e-16, *, *, 5.0000e-25
30, J1744-1134, bjb+97, 0.0040745459, 9, vbc+09, 8.93496E-21, 7, vbc+09, 0.42, 0.07, 0.11, 8.1, 9.0000e-18, *, *, 7.0000e-26
31, B1952+29, dlp70, 0.4266767865, 4, hlk+04, 1.711E-18, 3, hlk+04, 0.42, 0.01, 0.38, 8.33, 4.0000e-13, *, *, 3.0000e-21
32, B1451-68, lvw68, 0.2633768149, 19, smd93, 9.826E-17, 13, smd93, 0.43, -0.06, -0.31, 8.21, 1.9000e-12, *, *, 1.3000e-19
33, B0809+74, cp68, 1.2922414469, 3, hlk+04, 1.68114E-16, 14, hlk+04, 0.43, 0.23, 0.24, 8.78, 3.0000e-12, *, *, 1.4000e-20
34, J1231-1411, rrc+11, 0.0036838787, 3, rrc+11, 2.280E-20, 14, rrc+11, 0.45, 0.34, -0.27, 8.37, 3.0000e-15, *, *, 1.4000e-22
35, B0655+64, dth78, 0.1956709452, 16, hlk+04, 6.853E-19, 12, hlk+04, 0.48, 0.2, 0.21, 8.88, 1.6000e-13, *, *, 1.2000e-21
36, J1024-0719, bjb+97, 0.0051622046, 4, vbc+09, 1.852E-20, 8, vbc+09, 0.49, 0.32, -0.35, 8.62, 4.0000e-15, *, *, 8.0000e-23
37, B2327-20, ll76, 1.6436221853, 5, hlk+04, 4.63038E-15, 5, hlk+04, 0.49, -0.46, 0.13, 8.39, 5.0000e-12, *, *, 5.0000e-20
38, J1730-2304, lnl+95, 0.008122798, 14, vbc+09, 2.01836E-20, 7, vbc+09, 0.51, 0.05, 0.03, 7.99, 1.4000e-16, *, *, 7.0000e-25
39, J1022+1001, cnst96, 0.01645293, 11, vbc+09, 4.3344E-20, 6, vbc+09, 0.52, 0.4, -0.26, 8.7, 1.1000e-16, *, *, 6.0000e-24
40, B1112+50, fss73, 1.6564397599, 3, hlk+04, 2.492785E-15, 20, hlk+04, 0.54, 0.47, 0.12, 8.74, 3.0000e-12, *, *, 2.0000e-20
41, J2145-0750, bhl+94, 0.0160524239, 16, vbc+09, 2.97848E-20, 8, vbc+09, 0.57, -0.38, 0.31, 8.22, 1.6000e-16, *, *, 8.0000e-25
