1,B1642-03,J1645-0317,46515.00,14.114,26.062,24.417,20.033,0.387690,46515.00,-2.30,2.91,1.28,3.33e+03,1.78e+02,1.78e-15
2,B1933+16,J1935+1616,52275.00,52.436,-2.093,-8.503,-8.472,0.358738,46434.00,-1.40,3.70,-0.14,3.31e+03,5.75e+02,6.00e-15
3,B1541+09,J1543+0929,52275.00,17.811,45.775,-5.055,6.476,0.748448,48716.00,-2.10,5.90,4.23,2.72e+03,2.05e+02,4.32e-16
4,B1826-17,J1829-1751,49878.00,14.604,-3.418,-121.149,-88.523,0.307133,49878.00,-1.60,5.49,-0.33,2.35e+03,2.32e+02,5.46e-15
5,B2255+58,J2257+5909,50085.00,108.831,-0.575,-17.485,-2.369,0.368246,50085.00,-0.80,3.00,-0.03,2.27e+03,8.28e+01,5.75e-15
6,B2319+60,J2321+6024,49303.00,112.095,-0.566,-15.417,-0.259,2.256488,49303.00,-1.00,2.70,-0.03,2.21e+03,8.75e+01,7.03e-15
7,B0531+21,J0534+2200,40675.00,184.558,-5.784,-10.560,-10.764,0.033085,40000.00,-3.10,2.00,-0.20,2.20e+03,5.60e+01,4.23e-13
8,B1834-10,J1836-1008,48880.00,22.263,-1.415,21.946,-10.293,0.562711,48880.00,-2.10,5.39,-0.13,1.57e+03,1.07e+02,1.18e-14
9,B0559-05,J0601-0527,49379.00,212.199,-13.481,22.941,8.677,0.395969,49379.00,-1.80,7.54,-1.76,1.29e+03,1.42e+02,1.30e-15
10,B1911-04,J1913-0440,46634.00,31.307,-7.124,1.576,-8.341,0.825936,46634.00,-2.60,3.22,-0.40,1.22e+03,4.56e+01,4.07e-15
11,B0740-28,J0742-2822,49326.00,243.773,-2.444,-13.659,-22.638,0.166762,49326.00,-2.00,2.00,-0.09,1.18e+03,6.00e+01,1.68e-14
12,B1907+10,J1909+1102,49912.00,44.832,0.992,1.140,8.128,0.283641,54200.00,-2.50,4.80,0.08,1.15e+03,4.38e+01,2.64e-15
13,B1913+10,J1915+1009,53300.00,44.707,-0.651,7.806,-6.199,0.404547,54348.00,-1.90,7.00,-0.08,1.13e+03,6.37e+01,1.53e-14
14,B1900+06,J1902+0615,53390.00,39.814,0.336,11.419,-1.803,0.673503,54400.00,-1.70,7.00,0.04,1.08e+03,5.39e+01,7.71e-15
